season_age,x18,x19,x20,x21,x22,x23
18,0.018775941,NA,NA,NA,NA,NA
19,1.165072456,0.373683021,NA,NA,NA,NA
20,2.03962916,1.539747554,0.537907767,NA,NA,NA
21,3.564575721,2.525598204,1.463316451,0.542943135,NA,NA
22,4.658131188,2.884893297,2.302983633,1.551665783,0.348327719,NA
23,5.077067453,3.421645847,2.954549053,2.367326596,0.918638794,0.127685888
24,5.0877971,3.506430069,3.60325974,2.496457962,1.432376953,0.851601934
25,5.003793416,4.031568451,3.599154418,3.083027149,1.878738179,1.485171559
26,3.797751705,4.081706389,3.370348126,3.232364299,2.164856649,1.693494986
27,5.106047065,3.93881944,3.931680625,2.855218894,2.206211952,1.745149561
28,4.856284581,3.957878409,3.967961366,2.992159061,2.292430112,1.596012118
29,4.640252663,3.286710793,4.134847367,2.990078978,2.075025803,1.661638458
30,4.207618495,3.314042547,3.507409807,2.663969013,1.996338457,1.707112844
31,3.917325184,2.656662869,3.218602843,2.108392878,1.858594703,1.231504341
32,2.419498327,2.660379866,3.527822705,2.382249861,1.829280817,1.51042367
33,2.162430928,2.127978643,2.94890857,2.215595811,1.495562837,2.035891922
34,5.805583338,2.090235348,2.773600187,2.277206748,1.308287995,1.629843554
35,2.256337294,1.36016368,2.684517173,2.67925479,1.1170187,2.028464554
36,0.072776996,1.232927284,1.434965767,3.652909693,1.231374149,1.480824311
37,-1.19711958,1.44223007,0.952946282,2.293072366,1.216880395,0.791638863
38,NA,1.943989074,0.043052176,3.162344913,0.749634052,1.65641342
39,NA,1.703361444,1.459407375,2.813084207,0.018639685,0.517283496
40,NA,NA,-1.545380689,1.687121062,NA,0.009156224
41,NA,NA,NA,0.905034635,NA,NA